"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"529","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/VHQAmq82uD

#DeepLearning https://t.co/X3d6KNYJBS",FALSE,0,NA,2017-11-30 13:32:53,FALSE,NA,"936226528370790402",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","programming_skl",1,FALSE,FALSE,NA,NA
"530","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/1Tm4Da0oJ2

#DeepLearning https://t.co/L6LgjJgKEu",FALSE,0,NA,2017-11-30 13:29:32,FALSE,NA,"936225686422945792",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","beginnerdev",0,FALSE,FALSE,NA,NA
"531","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/dRNY70g81f

#DeepLearning https://t.co/lEIGctneWW",FALSE,0,NA,2017-11-30 13:29:09,FALSE,NA,"936225587764584449",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","project_devlop",0,FALSE,FALSE,NA,NA
"532","AlphaGo Zero: Learning from scratch | DeepMind https://t.co/b6T1Usy18P",FALSE,0,NA,2017-11-30 13:27:31,FALSE,NA,"936225180472479749",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","startup_gateway",0,FALSE,FALSE,NA,NA
"533","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/gaVNu5vj0j

#DeepLearning https://t.co/C34Rk0rZJF",FALSE,0,NA,2017-11-30 13:18:42,FALSE,NA,"936222959521411073",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","code__tutorials",0,FALSE,FALSE,NA,NA
"534","@markdhumphries It's true that human intelligence functions as part of civilisation, but not necessary for AI. For＃ https://t.co/3E1J2YzURY",FALSE,1,"neuralreckoning",2017-11-30 11:25:36,TRUE,"936193674622488576","936194498731892736","766634688584806400","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","neuralreckoning",0,FALSE,FALSE,NA,NA
"535","RT @pfinette: The BFD: Yes, yes and yes. Also 每 Tim Hartford is someone you want to follow. What AlphaGo Zero teaches us about what＊s going＃",FALSE,0,NA,2017-11-30 11:12:33,FALSE,NA,"936191213077696512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SUMoscowChapter",1,TRUE,FALSE,NA,NA
"536","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 10:49:51,FALSE,NA,"936185500012023808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_frangy",25,TRUE,FALSE,NA,NA
"537","No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/hfdJYDpuO1",FALSE,0,NA,2017-11-30 10:13:14,FALSE,NA,"936176286074130433",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","doccottle",0,FALSE,FALSE,NA,NA
"538","'AlphaGo' Trailer - The Hollywood Reporter https://t.co/fdICq0zA4e",FALSE,0,NA,2017-11-30 09:17:12,FALSE,NA,"936162184085868544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aaspieguy",0,FALSE,FALSE,NA,NA
"539","Move 37, Let's Go #AlphaGo",FALSE,0,NA,2017-11-30 09:10:53,FALSE,NA,"936160595325472768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnfilson",0,FALSE,FALSE,NA,NA
"540","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-30 08:27:28,FALSE,NA,"936149670597939200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","endroid",25,TRUE,FALSE,NA,NA
